name,description,ratings,number of lectures,difficulty,average rating,price,category
Affinity Photo: Beginner to Pro via Reference and Workflow,"Master Affinity Photo - the tools, the techniques and the methods!",291,,Beginner,4.4,11.99,Music
Cognitive Behavioural Therapy (CBT) Practitioner Certificate,Becoming a Cognitive Behavioural Therapy Practitioner with this Achology Accredited CBT Practitioner Certificate course,4159,,All Levels,4.4,11.99,Music
Elevate Your Tennis Game: Learn from Champion Andre Agassi,Level up your tennis game with the next best thing to a private lesson. Master insider secrets and a winner’s mindset.,3368,,Intermediate,4.4,11.99,Music
Sounds True Presents: The Yoga of Awakening,An In-Depth Training in Energetic and Emotional Healing with Seane Corn,2125,,All Levels,4.8,49.99,Music
Introduction to CBT: Cognitive Behavioral Therapy,Online Counselling & Cognitive Behavioural Therapy (CBT) Training Course,1742,38,All Levels,4.1,11.99,Music
Become a SuperHuman: Naturally & Safely Boost Testosterone,"Hack diet, exercise, & habits to safely boost your testosterone; the motivation, fitness, health, & happiness super drug",1305,,All Levels,4.5,11.99,Music
The Art of Energy Healing,"Channel Life-Changing Healing for Yourself, Your Friends, and Paying Clients",1093,,Intermediate,4.5,11.99,Music
"CBT for Depression, Anxiety, Phobias and Panic Attacks","Cognitive Behavioural Therapy for Depression, Anxiety, Phobias and Panic Attacks",1041,,All Levels,4.3,11.99,Music
Learn Close Combat Training: Military Hand-To-Hand Combat,"Military Hand-To-Hand Self Defense System Lets You Humiliate Younger, Tougher, BIGGER and More Experienced Attackers.",1020,,All Levels,4.5,11.99,Music
Herbalism :: Introduction & Medicine Making Course,"Take charge of your health by learning to use herbal medicine that you make yourself. It's easy, effective and safe.",934,,Beginner,4.4,11.99,Music
Hypnosis: Hypnotherapy Certification (Ericksonian Hypnosis),Hypnosis Certification | Advanced Ericksonian Hypnosis Made Easy From The UK's Top Hypnosis Training Course Instructor,906,,All Levels,4.3,11.99,Music
Therapeutic Art Life Coach Certification,"Therapeutic Art: Help Clients Heal, Reduce Stress & Manifest Dreams with Mandalas, Affirmations, Vision Boards & More",860,39,All Levels,4,11.99,Music
Sounds True Presents: Qi Gong for Health and Healing,An Online Course with Lee Holden to Unleash the Power of Your Life-Force Energy,735,,Beginner,4.6,11.99,Music
