name,description,ratings,number of lectures,difficulty,average rating,price,category
"Advanced CSS and Sass: Flexbox, Grid, Animations and More!","The most advanced and modern CSS course on the internet: master flexbox, CSS Grid, responsive design, and so much more.",7903,,Intermediate,4.8,11.99,Development
The Complete Oracle SQL Certification Course,"Don't just learn the SQL Language, Become Job-Ready and Launch Your Career as a Certified Oracle SQL Developer!",7757,,All Levels,4.5,11.99,Development
Master Jenkins CI For DevOps and Developers,Learn how to build automated continuous integration pipeline with Jenkins. Take your DevOps skills to the next level.,7751,,All Levels,4.3,11.99,Development
Complete Guide to TensorFlow for Deep Learning with Python,Learn how to use Google's Deep Learning Framework - TensorFlow with Python! Solve problems with cutting edge techniques!,7712,,Intermediate,4.5,11.99,Development
The Ultimate Excel Programmer Course,"Learn Excel VBA from scratch with Dan Strong! I've trained over 120K students on YouTube and U-demy, check it out!",7538,,All Levels,4.4,11.99,Development
Learn How To Code: Google's Go (golang) Programming Language,The Ultimate Comprehensive Course - Perfect for Both Beginners and Experienced Developers,7074,367,All Levels,4.5,11.99,Development
Python for Beginners with Examples,A straight-to-the-point Python course to quickly get you started with writing Python code and creating Python programs.,7066,38,Beginner,4.3,11.99,Development
Advanced React and Redux: 2018 Edition,"Detailed walkthroughs on advanced React and Redux concepts - Authentication, Testing, Middlewares, HOC's, and Deployment",7044,,Intermediate,4.7,11.99,Development
Complete C# Unity Developer 3D - Learn to Code Making Games,"Game development & design. Learn C# using Unity Engine. Your first 3D Unity games for web, Mac & PC.",7024,,All Levels,4.6,11.99,Development
C# Advanced Topics: Prepare for Technical Interviews,"Master the confusing C# constructs: Events, Delegates, Lambda Expressions, LINQ, Async/Await and more!",6959,21,Intermediate,4.5,11.99,Development
Node with React: Fullstack Web Development,"Build and deploy fullstack web apps with NodeJS, React, Redux, Express, and MongoDB.",6873,197,All Levels,4.6,11.99,Development
The Complete Ruby on Rails Developer Course,Learn to make innovative web apps with Ruby on Rails 4 & 5 and unleash your creativity,6696,,All Levels,4.4,11.99,Development
Ethereum and Solidity: The Complete Developer's Guide,"Use Ethereum, Solidity, and Smart Contracts to build production-ready apps based on the blockchain",6506,,All Levels,4.6,11.99,Development
The Complete WordPress Website Business Course,"Master WordPress with this Complete WordPress Course, without learning how to code and without any programming!",6331,,All Levels,4.4,11.99,Development
ES6 Javascript: The Complete Developer's Guide,ES6 Javascript Development from scratch.  Get practice with live examples and learn exactly where to apply ES6 features.,6272,68,Beginner,4.6,11.99,Development
Modern JavaScript From The Beginning,Learn and build projects with pure JavaScript (No frameworks or libraries),6266,120,All Levels,4.7,11.99,Development
Unreal Engine 4: How to Develop Your First Two Games,"Epic Games-Approved: learn the Unreal Editor, master the gameplay framework, and use Blueprint to program without coding",6198,85,Beginner,4.5,11.99,Development
Selenium WebDriver With Java - Novice To Ninja + Interview,"Join the ""Top Rated #1 Best Selenium Course"" - Basics To Advanced Level With POM, Grid, Maven, Jenkins, Interviews",6079,278,All Levels,4.5,11.99,Development
Scrum Certification Prep +Scrum Master+ Agile Scrum Training,Overview of Scrum Agile project management+common questions+tips to pass PSM scrum org ONLINE Scrum Master Certification,6063,,All Levels,4.3,11.99,Development
Part 1 Foundation Enterprise Architect Certification Trng,"Software architecture certification with TOGAF® 9 Part 1 exam, to become TOGAF Foundation.",6008,,All Levels,4.3,11.99,Development
Docker Crash Course for busy DevOps and Developers,Learn how to develop and deploy web applications with Docker technologies. Take your DevOps skills to the next level.,5979,49,All Levels,4.4,11.99,Development
Ionic 2/ Ionic 3 - Build iOS & Android Apps with Angular,"Build Native iOS and Android Apps with Angular 2+, Cordova and the Ionic 3 Framework. Build 4 Complete Apps!",5771,,Beginner,4.5,11.99,Development
iOS 9 and Swift 2: From Beginner to Paid Professional™,The BEST online iOS 9 Swift 2 course online. Lets learn iOS 9 & Swift 2,5659,177,All Levels,4.1,11.99,Development
Understanding TypeScript,"Don't limit the Usage of TypeScript to Angular 2! Learn the Basics, its Features, Workflows and how to use it!",5652,,All Levels,4.6,11.99,Development
Xamarin Forms: Build Native Cross-platform Apps with C#,"Learn to build native mobile apps for Android, iOS and Windows using your existing C# skills",5631,,All Levels,4.5,11.99,Development
The Modern Python 3 Bootcamp,A Unique Interactive Python Experience With Nearly 200 Exercises and Quizzes,5297,362,Beginner,4.6,11.99,Development
Bootstrap 4 From Scratch With 5 Projects,Master the latest version of Bootstrap (4.1.1) and build 5 real world themes while learning HTML5 semantics & CSS3,5165,,All Levels,4.7,11.99,Development
C++: From Beginner to Expert,Designed for people who don't have any knowledge about the programming and want to program in C++,5119,71,All Levels,4.4,11.99,Development
Go: The Complete Developer's Guide (Golang),Master the fundamentals and advanced features of the Go Programming Language (Golang),5117,,All Levels,4.6,11.99,Development
Android Java Masterclass - Become an App Developer,Improve your career options by learning Android app Development. Master Android Studio and build your first app today,5009,322,All Levels,4.4,11.99,Development
WebServices/REST API Testing with SoapUI+ Real Time Projects,"""Most Popular #1 SoapUI Test automation Course - ""23000+ students learning together with great collaboration""",4924,,All Levels,4.4,11.99,Development
"Beginner Full Stack Web Development: HTML, CSS, React & Node","Learn web development with HTML, CSS, Bootstrap 4, ES6 React and Node",4880,172,Beginner,4.5,11.99,Development
Taming Big Data with Apache Spark and Python - Hands On!,"Dive right in with 15+  hands-on examples of analyzing large data sets with Apache Spark, on your desktop or on Hadoop!",4880,,All Levels,4.5,11.99,Development
Apache Kafka Series - Learn Apache Kafka for Beginners v2,"START HERE: Learn Apache Kafka 2.0 Ecosystem, Core Concepts, Real World Java Producers/Consumers & Big Data Architecture",4873,,All Levels,4.6,11.99,Development
Entity Framework in Depth: The Complete Guide,Connect your applications to a SQL Server database,4860,,Intermediate,4.7,11.99,Development
The Advanced Web Developer Bootcamp,"Learn React 16, Redux, D3, ES2015, Testing, CSS Flexbox, Animations, SVG, AJAX, and more!",4819,391,Intermediate,4.5,11.99,Development
The Ultimate Guide to Game Development with Unity,Created in partnership with Unity Technologies: learn C# by developing 2D & 3D games with this comprehensive guide,4794,,Beginner,4.6,11.99,Development
PHP with Laravel for beginners - Become a Master in Laravel,Learn to master Laravel to make advanced applications like the real CMS app we build on this course,4691,,All Levels,4.4,11.99,Development
The Complete Android Kotlin Developer Course,"Learn how to make online games, and apps for Android O, like Pokémon , twitter,Tic Tac Toe, and notepad using Kotlin",4601,205,All Levels,4,11.99,Development
Python for Financial Analysis and Algorithmic Trading,"Learn numpy , pandas , matplotlib , quantopian , finance , and more for algorithmic trading with Python!",4593,,All Levels,4.5,11.99,Development
iOS 12 & Swift - The Complete iOS App Development Bootcamp,"From Beginner to iOS 12 App Developer with Just One Course! Xcode 10 & Swift 4.2. Includes ARKit2, CoreML2 and CreateML.",4538,,All Levels,4.8,11.99,Development
Android O & Java - The Complete Android Development Bootcamp,Learn Android O app development from beginning to end. Learn to code in Java while building fun Android O projects.,4467,289,All Levels,4.5,11.99,Development
Master Microservices with Spring Boot and Spring Cloud,"An awesome journey from Restful Web Services to Microservices with Java, Spring Boot and Spring Cloud",4445,,All Levels,4.4,11.99,Development
"Git Complete: The definitive, step-by-step guide to Git",Go from zero to hero with Git source control step-by-step with easy to understand examples. Become the next Git expert!,4383,84,All Levels,4.3,11.99,Development
Web Design for Beginners: Real World Coding in HTML & CSS,"Launch a career as a web designer by learning HTML5, CSS3, responsive design, Sass, cross device compatibility and more!",4376,,All Levels,4.6,11.99,Development
Spring Framework 5: Beginner to Guru,"Spring Framework 5: Learn Spring Framework 5, Spring Boot 2, Spring MVC, Spring Data JPA, Spring Data MongoDB, Hibernate",4368,460,All Levels,4.4,11.99,Development
Complete Step By Step Java For Testers,A-Z guide for learning Java what's perfectly right for your Selenium WebDriver and Test Automation needs,4281,52,All Levels,4.4,11.99,Development
The Coding Interview Bootcamp: Algorithms + Data Structures,Ace your next Javascript coding interview by mastering data structures and algorithms.,4280,,All Levels,4.6,11.99,Development
Appium(Latest 1.8)-Mobile Automation Testing from Scratch,Appium -Top class 200 +Lectures on Mobile Automation  from basics to Framework level with real time examples,4095,,All Levels,4.3,11.99,Development
The Complete Developers Guide to MongoDB,Master MongoDB and Mongoose design with a test-driven approach,4089,129,All Levels,4.5,11.99,Development
REST APIs with Flask and Python,"Build professional REST APIs with Python, Flask, Flask-RESTful, and Flask-SQLAlchemy",4068,,Intermediate,4.5,11.99,Development
Webpack 2: The Complete Developer's Guide,"Master Webpack 2 as you deploy web apps supported by Babel, code splitting, and ES2015 Modules.",4055,,All Levels,4.7,11.99,Development
Angular Front To Back,Master Angular 5 from the basics to building an advanced application with Firebase's Firestore as well as authentication,4042,73,All Levels,4.6,11.99,Development
Microservices with Spring Cloud,"A deep-dive into the Microservice architectural style, and how to implement it with Spring technologies.",4028,30,Intermediate,4.4,11.99,Development
30 Days of Python | Unlock your Python Potential,"Python is simple enough for beginners, powerful enough for the pros. Use it for IOT, Web Scraping, Big Data,  and more.",4033,45,All Levels,4.3,11.99,Development
iOS 11 & Swift 4: From Beginner to Paid Professional™,"Build iOS Apps & Learn iOS 11, Swift 4, ARKit (Augmented Reality), CoreML (Machine Learning)",4003,187,Beginner,4.5,11.99,Development
Spark and Python for Big Data with PySpark,"Learn how to use Spark with Python, including Spark Streaming, Machine Learning, Spark 2.0 DataFrames and more!",3964,,Intermediate,4.5,11.99,Development
GraphQL with React: The Complete Developers Guide,Learn and master GraphQL by building real web apps with React and Node,3964,114,Intermediate,4.6,11.99,Development
Git a Web Developer Job: Mastering the Modern Workflow,"Learn Git, GitHub, Node.js, NPM, Object-oriented JavaScript, ES6, webpack, Gulp, BEM and Job Interview Tips",3941,,Beginner,4.7,11.99,Development
The Complete Python 3 Course: Go from Beginner to Advanced!,Complete Guide to learning how to program in Python. Go from Beginner to Advanced level in Python with coding exercises!,3905,73,All Levels,4.1,11.99,Development
Unity Game Development Build 2D & 3D Games,Learn Unity game design & 2D & 3D game development & make your own C# games in Unity 3D,3887,116,Beginner,4.3,11.99,Development
The Java Spring Tutorial: Learn Java's Popular Web Framework,"Learn the hottest, most in-demand Java web framework, including web programming with Spring MVC and Hibernate. Lifetime access with no subscription on Udemy.",3794,176,Expert,4.1,11.99,Development
The Complete Android & Java Developer Course - Build 21 Apps,"Learn Android Development, Java & Android Studio from Scratch in 5 Weeks. Build Whatsapp Clone, Diary App & more",3786,374,All Levels,4.3,11.99,Development
"Python for Data Structures, Algorithms, and Interviews!",Get a kick start on your career and ace your coding interviews!,3781,228,Intermediate,4.4,11.99,Development
Progressive Web Apps (PWA) - The Complete Guide,"Build a Progressive Web App (PWA) that feels like an iOS & Android App, using Device Camera, Push Notifications and more",3761,,All Levels,4.7,11.99,Development
"JSP, Servlets and JDBC for Beginners: Build a Database App",JSP: Covers latest versions of JSP 2.3 and Servlets 3.1 - Most Popular JSP/Servlet course,3735,,All Levels,4.6,11.99,Development
"Reiki Level I, II and Master/Teacher Program","Learn Reiki Levels 1, 2 and Master Level to become a Certified Traditional Usui Reiki Practitioner/Instructor",22707,,All Levels,4.7,11.99,Health and Fitness
Become a SuperLearner® 2: Learn Speed Reading & Boost Memory,The original course to learn faster & more easily using the skills of the worlds fastest readers & memory record holders,11991,,All Levels,4.3,11.99,Health and Fitness
Life Coaching Certification Course (Achology Certified),Become Certified in Life Coaching with this Comprehensive Online Life Coach Certificate Course | Achology Accredited,7683,,All Levels,4.5,11.99,Health and Fitness
Cryptocurrency ICO Investing Course 2018: Identify the Best!,Learn how to pick the most high-quality and game-changing ICOs in 2018 and onwards to help build your Retirement fund!,6736,22,All Levels,2.7,11.99,Health and Fitness
"Sounds True's Freedom to Choose Something Different, Part 1",Pema Chodron on How to Transform Your Life and Find Lasting Peace and Happiness,6013,,All Levels,4.6,11.99,Health and Fitness
NLP Practitioner Certificate Course (Beginner to Advanced),"Achology Certified NLP Practitioner Course | Learn the Core Ideas, Methods & Principles of Neuro-Linguistic Programming",5918,,All Levels,4.4,11.99,Health and Fitness
Arts Therapy - Arts Therapy For Self Healing (Part One),Art Therapy : Therapeutic Art and The Healing Process of Therapeutic Art For Self Expression and Self Healing,5235,,All Levels,4.3,11.99,Health and Fitness
Investing In Stocks  The Complete Course! (11 Hour),"Master Investing in the Stock Market with Stocks, Mutual Funds, ETF, from a Top Instructor & Millionaire Stock Portfolio",5100,,All Levels,4.3,11.99,Health and Fitness
"Mindfulness Practitioner Course (Level I, II, III & Master)",Become an Achology Certified Mindfulness Practitioner & Learn Everything you need to know about Practicing Mindfulness,4201,,All Levels,4.4,11.99,Health and Fitness
Effective Time Management - Get 10X More Done in Less Time,How Entrepreneurs and Small Business Owners can Get 10X More Done in Half of the Time,4064,9,Beginner,4.4,11.99,Health and Fitness
Neuroplasticity: How To Rewire Your Brain,"How to develop mental flexibility, change habits, stop procrastination and alter memories based on neuroscience research",3980,,All Levels,4.6,11.99,Health and Fitness
Acumen Presents: Elizabeth Gilbert's Creativity Workshop,Become equipped with the practical tools & inspiration to jumpstart your creative journey.,3569,21,All Levels,4.4,44.99,Health and Fitness
"Reiki Level I, II and Master Certification | Energy Healing","Become a Certified Usui Reiki Practitioner | Heal Yourself, Family, Friends, Clients, Pets and More with Energy Healing!",3426,,All Levels,4.8,11.99,Health and Fitness
"(2019) Career Hacking: Resume, LinkedIn, Interviewing +More","The world's BESTSELLING career course! Job Search, Resume/CV Writing, LinkedIn, Networking, Interviewing, + more! | Eazl",3330,,All Levels,4.4,11.99,Health and Fitness
SELF-CONFIDENCE: 40-minute Confidence & Self Esteem Guide,"Boost Your Confidence and Self Esteem, Handle Fear of Rejection, Learn Powerful Body Language, Feel Great About Yourself",3283,10,All Levels,4.3,11.99,Health and Fitness
Body Language for Entrepreneurs,Use nonverbal communication to increase your income and influence as a business owner. Master body language for success.,3102,,All Levels,4.6,11.99,Health and Fitness
Crystal Reiki Master/Teacher Certification,Step into your power and become a Certified Crystal Reiki Master,3047,,Expert,4.7,11.99,Health and Fitness
Animal Reiki Practitioner Certification,Learn how to use Reiki energy to help animals,2936,34,All Levels,4.6,11.99,Health and Fitness
Assertiveness Basics: The 50-minute Communication Guide,Communication Skills. Confidence. Body Language. Stress Management. Social Dynamics. Personal Development.,2317,21,All Levels,4.2,11.99,Health and Fitness
Become a SpeedDemon: Productivity Tricks to Have More Time,Learn productivity strategies and easy-to-use tricks to help you get through everyday tasks faster and more efficiently.,2237,,All Levels,4.3,11.99,Health and Fitness
"The Complete Job, Interview, Resume/LinkedIn & Network Guide",By an Award Winning MBA Prof. Who Successfully Changed Careers from Goldman to Consulting to VC to Hedge Funds to Tech.,2130,,All Levels,4.4,11.99,Health and Fitness
Life Purpose: Life Coach Certification,Become a Certified Life Purpose Coach! Learn powerful tools & strategies to help clients find their purpose & passion.,2128,,All Levels,4.6,11.99,Health and Fitness
The Secrets of Body Language,Learn how to interpret the body language of the people around you while perfecting your own nonverbal communication.,2123,24,All Levels,4.3,11.99,Health and Fitness
Your 7 Chakras : The Complete Guide to Your Energy Body,"Understand Your Chakras, Your Energy Body, and Heal the Areas of your life that need it!",2115,,All Levels,4.7,11.99,Health and Fitness
Tarot Card Success - The Complete Tarot Reading Course,Master your Psychic Ability and Learn to Give Accurate Professional Level Tarot Card Readings,2074,,All Levels,4.7,11.99,Health and Fitness
Hypnotherapy Certification Course (Hypnosis Practitioner),A Comprehensive Hypnotherapy Certification Course from the UK's Top Trainers in Hypnosis NLP and Positive Psychology,2055,,All Levels,4.4,11.99,Health and Fitness
Life Coach Training Course: Introduction to Life Coaching,Life Coaching Introduction Course : Train to be a Life Coach and Start Your Own Life Coaching Business,1985,19,All Levels,4.4,11.99,Health and Fitness
How to Be Psychic - Psychic Development for Beginners,Tap into Your Natural Psychic Ability to Give Psychic Readings for Spiritual Guidance or Profit,1900,,All Levels,4.5,11.99,Health and Fitness
Acumen Presents: Seth Godin's Leadership Workshop,Learn the concrete steps to lead change and create an alternative future for yourself and others.,1887,,All Levels,4.4,44.99,Health and Fitness
Successful Negotiation: Master Your Negotiating Skills,Master negotiation with these negotiating tips,1829,,All Levels,4.3,11.99,Health and Fitness
Master your brain: Neuroscience for personal development,"Discover how this approach can help with stress, self confidence, motivation, change, communication, relations, ...",1783,65,All Levels,4.5,11.99,Health and Fitness
"Cryptocurrency: Complete Bitcoin, Ethereum, Altcoins! (8 HR)",Bitcoin & Other Cryptocurrency Is Growing Fast. Master Cryptocurrency Use & Successful Investing In Bitcoin & Altcoins!,1747,74,All Levels,4.5,11.99,Health and Fitness
Acorns' Guide to Personal Finance,"5 Steps to Building Wealth: Budget Better, Pay Off Debt Faster, Save and Earn More Money and Invest Wisely",1715,32,Beginner,4.3,11.99,Health and Fitness
Value Investing Bootcamp: How to Invest Wisely,"Learn the Secrets of the Best Stock Investors, Manage Your Own Portfolio, And Get Higher Than Average ROI",1681,,All Levels,4.4,11.99,Health and Fitness
Body Language of Love and Dating,Find relationship success with the nonverbal science of seduction. Learn the subtle romantic signs to decode your date.,1575,,All Levels,4.5,11.99,Health and Fitness
Professional Life Coaching Certification & Complete Guide,"Become a certified life coach & grow your life coaching business! Done-for-you forms, tools, processes & best practices",1573,111,All Levels,4.5,11.99,Health and Fitness
Shamanic Initiation for Spiritual Awakening and Liberation,Heal your emotional wounds finding freedom as you receive initiation into the 9 spiritual luminous rites of the Munay Ki,1575,,All Levels,4.7,11.99,Health and Fitness
Double Your Confidence & Self Esteem - Complete Blueprint,Confidence. Self Esteem. Social Skills. Social Success. Social & Inner Confidence. Body Language. Charisma. Influence.,1554,,All Levels,4.4,11.99,Health and Fitness
Become A Learning Machine 2.0: Read 300 Books This Year,"How To Finally Get Through Your Unread Bookshelf, Even If You Have Little Time and Read Too Slowly… Guaranteed!",1507,33,All Levels,4.1,11.99,Health and Fitness
Tidy Up Your Home: The KonMari Method,Learn how to properly tidy your home and spark joy in your life!,1481,,All Levels,4.5,59.99,Health and Fitness
Certified Angelic Healing Practitioner Diploma Course,"Connect with the angelic realm,complete the training so that you can offer paid for healings as a certified practitioner",1446,,All Levels,4.8,11.99,Health and Fitness
Become A Learning Machine: How To Read 300 Books This Year,"Secrets From Elon Musk, Bill Gates and 22 Other Radically Successful People To Read Almost A Full Book A Day",1397,64,All Levels,4.2,11.99,Health and Fitness
Mind Mapping Mastery –> Effective Mind Maps -> Step by Step,"Mind Mapping - SMART Productivity and Memory Tool: Think clearly, Organise, & Plan better; Study, Learn, & Recall Faster",1394,,All Levels,4.3,11.99,Health and Fitness
Cryptocurrency Investing: Buy & Trade Bitcoin & Altcoins,"Cryptocurrency investing for beginners: How to buy Bitcoin, Ethereum, Litecoin & other Cryptocurrency. Buy, Sell, Invest",1372,17,All Levels,4.4,11.99,Health and Fitness
Happiness Life Coach Certification,Become a Certified Happiness Life Coach! Learn powerful tools and strategies to help your clients find their happiness.,1296,36,All Levels,4.4,11.99,Health and Fitness
Mini Habit Mastery: The Scientific Way To Change Your Habits,"Learn how to always overcome resistance, take action, succeed every day, and make changes that last.",1243,,All Levels,4.6,11.99,Health and Fitness
Meditation and the Evolution of Consciousness with Daaji,"Guided heartfulness meditation for beginners |Learn to meditate for happiness, improved well being and reducing stress",1240,,All Levels,4.7,11.99,Health and Fitness
Digital Body Language,"You will learn what your digital brand says about you through your social media pictures, website and more.",1235,,Beginner,4.6,11.99,Health and Fitness
The Core Four of Personal Finance,Learn the core four pillars of personal finance. Get and stay motivated!,1235,76,Beginner,4.6,11.99,Health and Fitness
"Awaken Your Heart, Creativity & Wisdom with Tara Brach",Inhabit your full aliveness with embodied awareness,1223,,All Levels,4.4,11.99,Health and Fitness
Productivity and Time Management for the Overwhelmed,A complete productivity and time management course designed to help you reduce your overwhelm and increase your results.,1187,,All Levels,4.4,11.99,Health and Fitness
Certified Crystal Healing Practitioner Diploma Course,Connect with the Crystal Kingdom and learn everything you need to know to become a Crystal Healing Practitioner,1177,51,All Levels,4.7,11.99,Health and Fitness
2018 Complete Public Speaking Masterclass For Every Occasion,"TJ Walker's Incredibly Thorough and Comprehensive Public Speaking Course for Every Situation, Audience and Skill Level",1163,,All Levels,4.5,11.99,Health and Fitness
Management Skills: New Manager Training in Essential Skills,"Management Skills Certification in Developing People, Leading Teams & Process Improvement",1113,,All Levels,4.4,11.99,Health and Fitness
Inspirational Screenwriting.  The #1 Screenwriting Course!,Learn the screenwriting secrets behind successful cinematic stories in the world of film & television script writing.,1037,,All Levels,4.7,11.99,Health and Fitness
Increase Your Intuitive Abilities Using EFT (Tapping),"Use Emotional Freedom Technique (EFT) to open your intuitive channels: clair-audience, clair-voyance & clair-sentience.",1004,,All Levels,4.6,11.99,Health and Fitness
Radical Acceptance with Tara Brach,The Freeing Power of Mindfulness and Meditation,985,47,All Levels,4.6,11.99,Health and Fitness
Finding Your Life's Purpose by Eckhart Tolle,A session with Eckhart Tolle to free you from the trap of compulsive thinking.,982,15,All Levels,4.2,11.99,Health and Fitness
Think Like a Leader with Brian Tracy,Change your day to day habits to become a powerful motivator and achieve leadership success,981,62,Beginner,4.4,199.99,Health and Fitness
NLP Master Practitioner Certificate (Advanced to Expert),Achology Certified Neuro-Linguistic Programming Master Practitioner Certificate Course | NLP Master Practitioner (NLPMP),956,146,Expert,4.6,11.99,Health and Fitness
Personal Finance Masterclass - Easy Guide to Better Finances,"Your complete personal finance guide to understanding finances. Save more, invest smarter, reduce loans, retire earlier!",945,,All Levels,4.3,11.99,Health and Fitness
Neuroscience for parents: How to raise amazing kids,Parenting to help your children develop a healthy self esteem and trust. nurture their talents and bond with them,940,,All Levels,4.5,11.99,Health and Fitness
How To Remember Everything With Tom Weber,"Learn how to remember names, dates, presentations, speeches and anything else that holds importance in your life!",925,56,All Levels,4.5,11.99,Health and Fitness
"Dowsing Course No 2: Multiple Choice, Asking Right Questions",This course teaches you how to ask multiple choice questions and how to formulate questions for maximum accuracy.,919,39,Intermediate,4.7,11.99,Health and Fitness
How to remember every password,"Generate memorable, unique, secure passwords you never need write down",894,12,All Levels,4.7,11.99,Health and Fitness
Sounds True Presents: Good Medicine,Pema Chodron on How to Turn Pain into Compassion Through the Practice of Meditation,881,,All Levels,4.9,11.99,Health and Fitness
10X Effective Learning - Speed Reading & Memory Booster,"How to Learn Anything Fast: Advanced Speed Reading, Memory And Productivity Techniques To Skyrocket Your Learning!",877,176,All Levels,4.5,11.99,Health and Fitness
"Sounds True's Freedom to Choose Something Different, Part 2",Pema Chodron on How to Transform Your Life and Find Lasting Peace and Happiness,849,14,All Levels,4.7,11.99,Health and Fitness
Remove Blocks to Psychic Power with Past Life Therapy,Unlock Your Psychic Powers and Healing Abilities with Past Life Regression,847,24,All Levels,4.7,11.99,Health and Fitness
Manifesting Your Best Life with Deepak Chopra - Part 1,Harness the power of intention to achieve your goals with joy and ease,832,,All Levels,4.5,24.99,Health and Fitness
Life Coaching : Start Up Your Own Life Coaching Business,Life Coaching : Learn What It Takes To Start Up Your Own Life Coach Business or Life Coaching Practice,825,61,All Levels,4.6,11.99,Health and Fitness
From Goal Setting to Success: Life Coach Certification,"Learn Life Coaching industry best practices. Help clients be successful, achieve their goals, and reach their dreams!",809,,All Levels,4.6,11.99,Health and Fitness
The Complete Digital Marketing Course - 12 Courses in 1,"Master Digital Marketing: Social Media Marketing, SEO, YouTube, Email, Facebook Marketing Strategy, Analytics & More!",33432,,All Levels,4.4,11.99,Health and Fitness
Ultimate Google Ads / AdWords Course 2018 - Profit With PPC!,Google Ads: Learn how our clients have transformed their sales using google AdWords & get your AdWords certification!,21725,,All Levels,4.7,11.99,Health and Fitness
Facebook Ads & Facebook Marketing MASTERY 2018 | Coursenvy ™,"Facebook Marketing from beginner to advanced! Join 100,000+ students who MASTERED Facebook and are Facebook Ads experts!",11715,,All Levels,4.5,11.99,Health and Fitness
"Instagram Marketing 2018: A Step-By-Step to 10,000 Followers","Attract Hyper-Targeted Instagram Followers, Convert Followers to Paying Customers, & Expand your Brand Using Instagram",8494,,All Levels,4.3,11.99,Health and Fitness
Social Media Marketing - Complete Certificate Course,"The comprehensive social media course, beginner to advanced. Go viral, get started today!",7201,75,All Levels,4.2,11.99,Health and Fitness
SQL for Newbs: Data Analysis for Beginners,A course you'll actually finish! This SQL course taught by a Product Manager and Marketing Data Scientist,6361,33,All Levels,4.2,11.99,Health and Fitness
Digital Marketing Masterclass - 23 Courses in 1,"Grow Your Business with Digital Marketing: Social Media Marketing, Facebook, Content, YouTube, Email Marketing, Websites",4541,323,All Levels,4.4,11.99,Health and Fitness
Google Analytics Certification - Get Certified in 1 Day!,Get a Job & Earn More with Your Google Analytics Certification. Complete Google Analytics Training & Practice Test 2018,4384,,All Levels,4.4,11.99,Health and Fitness
ClickBank Success – Affiliate Marketing Without A Website,Learn and model our proven system for success as a ClickBank affiliate. No hidden secrets - we reveal it all!,4096,,All Levels,4.4,11.99,Health and Fitness
Social Media Marketing MASTERY | Learn Ads on 10+ Platforms,"MASTER online marketing on Twitter, Pinterest, Instagram, YouTube, Facebook, Google and more ad platforms! Coursenvy ™",3561,,All Levels,4.4,11.99,Health and Fitness
SEO 2018: Complete SEO Training + SEO for WordPress Websites,"Rank 1 on Google with Technical SEO, 0.5s Pagespeed, UX SEO, Backlink SEO, Keyword Research SEO + WordPress SEO Training",3481,,All Levels,4.4,11.99,Health and Fitness
YouTube Masterclass - Your Complete Guide to YouTube,"Complete guide to starting a YouTube channel, getting more views & subscribers, and building a brand with videos!",3248,,All Levels,4.3,11.99,Health and Fitness
(2019) Growth Hacking with Digital Marketing [Version 6.1],"Join the world's BESTSELLING growth hacking course (35,000+ alumni). Help us growth hack the Google Merchandise Store!",3063,,All Levels,4.3,11.99,Health and Fitness
Google AdWords Certification - Get Certified in Just 2 Days!,Get a Job & Earn More with Your Google AdWords Certification. Become Google Ads Certified in Just 2 Days. 2018 Version,2768,,All Levels,4.4,11.99,Health and Fitness
Copywriting secrets - How to write copy that sells,Discover the secrets of copywriting success from the master. From novice to pro in easy stages,2746,39,All Levels,4.5,11.99,Health and Fitness
The Complete Facebook Ads & Marketing Course 2017,"The #1 Guide to Facebook Advertising & Marketing in 2017 - Join 50,000+ students who are selling with Ads right now!",2344,122,All Levels,4.1,11.99,Health and Fitness
The Complete SEO Guide to Ranking Local Business Websites,Watch over my shoulder as I redesign and rank a real live client local business website on the 1st page of Google,2259,,All Levels,4.5,11.99,Health and Fitness
Moz Advanced SEO: Tactics & Strategy,Learn quick SEO tactics and dive into SEO concepts and integration of SEO with overall marketing strategy,2111,10,All Levels,4.5,11.99,Health and Fitness
Seth Godin on Presenting to Persuade,"Build your business, make your point, sell your idea",2014,,All Levels,4.4,29.99,Health and Fitness
Complete SEO Training With Top SEO Expert Peter Kent!,Win The SEO Game & Dominate The Search Engines With the Author of Best-Selling Search Engine Optimization for Dummies.,2011,158,All Levels,4.4,11.99,Health and Fitness
How Retargeting Works–The Complete Guide To Retargeting Ads!,What Is Retargeting and How Does It Work? Learn Remarketing Secrets That Will Help You Convert Your Abandoning Visitors!,1943,,All Levels,4.5,11.99,Health and Fitness
SEO Training: Get Free Traffic to Your Website With SEO,"SEO Training to Rank #1 in Google. SEO Audit, Keyword Research, On Page SEO, Link Building, WordPress SEO & More!",1902,37,All Levels,4.4,11.99,Health and Fitness
SEO For WordPress [Beginners]: #1 Step-by-Step SEO System,"""SEO For WordPress: Discover How to Easily Get Your Website on Page #1 of Google, Yahoo! & Bing ..Fast!",1747,100,Beginner,4.6,11.99,Health and Fitness
Social Media Management - The Complete 2018 Manager Bootcamp,Become a freelance social media manager | Start a management business | Work from anywhere | Achieve financial freedom,1591,,All Levels,4.5,11.99,Health and Fitness
How I Hit #1 on Google: The 2019 Complete SEO Course,"Secrets to Improve Search Position, Conversions, Traffic, Sales, Page Speed, Content, Shares & Links",1557,102,All Levels,4.1,11.99,Health and Fitness
